publicName;translationSetId;Visitors;History;Visual;Culture;Naval;Nature;Tech;Ethnology
Museum W;9d6fdbeb-e330-4eb0-9fa7-cd26adfe7413;23000;0;1;0;0;0;0;0
Liemers Museum;6d57096e-0987-4a5d-8550-12422e46c012;8500;1;1;1;0;1;0;0
Fotomuseum aan het Vrijthof;c19ee988-451e-4da4-b83d-ae4c1bfbf2f0;30000;0;1;1;0;0;0;0
Openluchtmuseum de Locht;057ec8d4-db1e-4b3a-a28c-3e5af7eb18b3;29700;0;0;0;0;1;0;0
Geelvinck Muziek Museum Zutphen ;d241a7ad-081b-433c-aac3-01d314e8af9a;10000;0;0;1;0;0;0;0
Het Oude Raadhuis Urk;bb1872c6-aefd-4bd5-988d-3aad8bde3b74;12000;1;0;1;0;0;0;0
Museum Valkenburg;4981f5e2-5430-48aa-a8e0-726868672a4d;10000;0;1;1;0;0;0;0
Openbaar Vervoer & Speelgoed Museum Doetinchem;77b88782-7ebf-4e66-b1b5-a12b91f8eea1;7500;1;0;1;0;0;1;0
Oyfo Techniekmuseum;505d548a-6b67-416a-b85a-15dee47e855b;40000;0;0;0;0;0;1;0
Stadsmuseum Rhenen;8ad14ab1-1948-468c-9a63-7094f85cd1bc;3000;1;1;1;0;0;0;0
Batavialand;7a2966b5-97fa-4cd3-9408-9e415182ca4e;85000;0;0;1;1;0;0;0
Indisch Herinneringscentrum (IHC) | Sophiahof;2ffb2ebd-007a-4bbe-affc-50095caa653d;5000;1;0;0;0;0;0;0
Streekmuseum Veldzicht;90006235-c0cb-44f3-9b3b-cbdab208f562;7000;0;1;1;0;0;0;0
Libertum;2dc0d96e-fbe8-41de-b1db-36094539f0ce;9740;0;0;1;0;0;0;0