publicName;translationSetId;Visitors;History;Visual;Culture;Naval;Nature;Tech;Ethnology;small_museum
ABC Architectuurcentrum Haarlem;3bcb3ba4-1675-461b-880e-2676f8c7def9;20000.0;1;1;0.0;0.0;0.0;1;0.0;1
BAK, basis voor actuele kunst;ae32e45b-c9aa-4cc1-ac06-6ddb93c9630b;20000.0;0.0;0.0;1;0.0;0.0;0.0;1;1
Beeld en Geluid;92f68db4-1a4e-4847-990b-9710c4696e9a;20000.0;1;1;1;0.0;0.0;1;0.0;1
Beeld en Geluid Den Haag;97dca6c1-6b1a-4ffe-a048-83ecce6707a5;20000.0;0;1;1;0.0;0.0;1;0.0;1
Biesbosch MuseumEiland;f61643e5-0237-4536-90ef-d3e8f721de21;20000.0;1;0.0;0.0;1;1;0.0;0.0;1
Buitenplaats Kasteel Wijlre;1a918684-33d5-485a-80b7-90a8086803ef;20000.0;0.0;1;1;0.0;1;0.0;0.0;1
Bureau Europa;2d859675-3803-40fe-8724-56d33734a322;10000.0;0.0;1;0;0.0;0.0;0.0;1;1
Cromhouthuis & Bijbels Museum;4bde56f6-2fb4-4a0a-ada5-5ede3cb7ba39;20000.0;1;0.0;1;0.0;0.0;0.0;0.0;1
De Nieuwe Kerk;179e0120-23f9-434b-804b-172effcfc85d;20000.0;0.0;1;1;0.0;0.0;0.0;0.0;1
Embassy of the Free Mind;f9453fa1-3fe4-4c3e-a980-174ddae906fc;20000.0;0.0;0.0;1;0.0;0.0;0.0;1;1
Fashion for Good;3d48d03b-350c-449c-9f2a-2a4b71e16996;20000.0;0.0;1;0.0;0.0;0.0;0.0;0.0;1
Feyenoord Museum;86530fe9-05f8-4d04-8aae-1a59202425e8;20000.0;1;0.0;1;0.0;0.0;0.0;0.0;1
Formerly known as Witte de With Center for Contemporary Art;4238d9e8-9800-400a-be2f-e9cf52787314;20000.0;0.0;1;0.0;0.0;0.0;0.0;0.0;1
Geert Groote Huis;c7d847ac-7f57-4bf6-955e-50745c2f1ac3;20000.0;1;0.0;1;0.0;0.0;0.0;0.0;1
Gorcums Museum;9d3a2998-159f-42de-b069-48efe943607d;20000.0;1;1;0.0;0.0;0.0;0.0;0.0;1
Het Klederdrachtmuseum;bd68c0cd-f2e8-4f7c-8245-7a6dd39028b3;20000.0;1;0.0;1;0.0;0.0;0.0;0.0;1
Het Nieuwe Instituut;fde0ab33-2d85-4f29-a0fb-6e13a6f52142;20000.0;0.0;1;1;0.0;0.0;0.0;0.0;1
Het Nieuwe Schoenenmuseum;03fcf274-768a-4a37-932d-50c6ef75cf58;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;1
KM21;e3a4eb03-6234-466c-a9a6-8313829a4065;20000.0;0.0;1;0.0;0.0;0.0;0.0;0.0;1
Kasteel Duivenvoorde;80a37d9f-37d1-466f-96c2-b65044666fbe;20000.0;1;0.0;0.0;0.0;0.0;0.0;0.0;1
Kasteel Museum Sypesteyn;a4b7e371-748f-4f21-9730-c4835ffa6e64;20000.0;1;0.0;0.0;0.0;0.0;0.0;0.0;1
Kunstfort bij Vijfhuizen;06e54795-1e78-4c11-b824-7650f03eb1d8;20000.0;0.0;1;0.0;0.0;0.0;0.0;0.0;1
Kunsthal KAdE;fa3297b4-3e97-42e1-86f7-7de33c2bc426;20000.0;0.0;1;0.0;0.0;0.0;0.0;0.0;1
Kunstmuseum Den Haag;60dcdaf1-a16f-4a63-877b-1734d0e74d8d;20000.0;0.0;1;0.0;0.0;0.0;0.0;0.0;1
MU Hybrid Art House;170569ce-a7eb-4b0f-b167-2798cf9935a4;20000.0;0.0;1;0.0;0.0;0.0;0.0;0.0;1
Marres, Huis voor Hedendaagse Kunst;10f92ca9-be97-40d2-b2ad-cb99d5154981;20000.0;0.0;1;0.0;0.0;0.0;0.0;0.0;1
Museum De Waag;39b0a7b4-6bf6-4c5d-a29a-0e4266055be1;20000.0;1;0.0;1;0.0;0.0;0.0;0.0;1
Museum Engelandvaarders;1b3b1310-8ca3-4521-a982-3a74ac2d4f74;20000.0;1;0.0;1;0.0;0.0;0.0;0.0;1
Museum Giethoorn 't Olde Maat Uus;3df5f7b5-a809-489d-912d-8a1b1baec86b;20000.0;1;0.0;1;1;0.0;0.0;0.0;1
Museum Het Schip;eba73114-b030-49d1-9108-e60ea8670b3a;45000.0;1;1;1;0.0;0.0;0.0;0.0;0
Museum MORE | Kasteel Ruurlo;379238fb-bb67-4f77-9e80-6476a433713f;20000.0;0.0;1;0.0;0.0;1;0.0;0.0;1
Museum Sow to Grow;0b7f86cb-92f7-43ee-9eaf-6aa68a5c38a6;20000.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1
Museum Techniek met 'n Ziel;6051ad13-cdb3-4e0b-9d6c-24c6f60cd900;20000.0;1;0.0;0.0;0.0;0.0;1;0.0;1
Museum Tromp's Huys;36da426c-d98f-41bc-ba5a-770e4412f569;20000.0;1;0.0;1;0.0;0.0;0.0;1;1
Museum Veenendaal;b5f1962b-3709-4476-a8c7-6209ca198c7d;20000.0;1;0.0;1;0.0;0.0;0.0;0.0;1
Musiom;7c33a0e2-a4f6-466a-87b0-533b4aad2e91;20000.0;0.0;1;0.0;0.0;0.0;0.0;0.0;1
Muzeeaquarium Delfzijl;d6dceab9-27ce-41aa-9be2-9e5189ba51f0;20000.0;0.0;0.0;1;0.0;1;0.0;0.0;1
NEST;7d01d3c1-913a-4641-8d51-610bbcc3eb37;20000.0;0.0;1;0.0;0.0;0.0;0.0;0.0;1
Nationaal Archief;bdd23118-7948-42bd-8421-36d9ec2e423b;20000.0;1;0.0;0.0;0.0;0.0;0.0;0.0;1
Nationaal Militair Museum;ac63eec9-a130-4e9c-b378-e23e076865dc;20000.0;1;0.0;0.0;0.0;0.0;1;0.0;1
Naturalis;fccff808-8a76-432a-9cb8-9d0cefbecc30;20000.0;1;0.0;0.0;0.0;1;0.0;0.0;1
Pop Up Museum Oud Amelisweerd;bf728e09-c178-4fe3-82c6-e34c19d7f444;20000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Portrait Gallery of the 17th Century;d579493e-5364-4327-b712-d231508db640;20000.0;0.0;1;1;0.0;0.0;0.0;0.0;1
Space Expo;15d80092-895b-45cb-aad9-b1b470cfc177;20000.0;1;0.0;0.0;0.0;0.0;1;0.0;1
Stedelijk Museum Coevorden;da47cb04-ae0e-4ba2-abe5-cd0d63b9fe72;20000.0;1;0.0;0.0;0.0;0.0;0.0;0.0;1
Storyworld | Forum Groningen;acfa8d9d-7062-4b90-b8fa-03a9d8535991;20000.0;0.0;0.0;1;0.0;0.0;0.0;0.0;1
Streekmuseum Etten Leur;60780e37-d503-4b56-b1d5-a46c2358eb41;20000.0;1;0.0;1;0.0;0.0;0.0;1;1
TENT;53ac1788-fb5e-4058-9bd0-768a55a5f8db;20000.0;0.0;1;1;0.0;0.0;0.0;0.0;1
Tassenmuseum Amsterdam;bff4bba9-6f13-4a2a-ab4c-47a3946f61dd;20000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Vrijmetselarij Museum;fe92325a-3b6b-4b8b-9a29-49575071df82;20000.0;1;0.0;1;0.0;0.0;0.0;0.0;1
Zwanenbroedershuis;5adfb94f-9e56-40b1-a93e-766264de3f02;20000.0;1;0.0;1;0.0;0.0;0.0;0.0;1